guide,target,active,center,scale
BCL11B_2,BCL11B,0,0.01129,0.1837
BCL11B_3,BCL11B,0,-0.06066,0.3825
BCL11B_4,BCL11B,0,-0.01133,0.2125
BCL11B_5,BCL11B,0,-0.03904,0.2414
BCL11B_6,BCL11B,0,0.002109,0.102
BCL3_1,BCL3,0,-0.04366,0.4068
BCL3_2,BCL3,0,-0.009122,0.3891
BCL3_3,BCL3,0,-0.01263,0.3415
BCL3_4,BCL3,0,-0.006243,0.3574
BCL3_5,BCL3,0,-0.01357,0.1057
BCL3_6,BCL3,0,-0.003684,0.1141
BCL6B_1,BCL6B,0,-0.00698,0.1214
BCL6B_2,BCL6B,0,-0.01427,0.1104
BCL6B_3,BCL6B,0,-0.03284,0.2689
BCL6B_4,BCL6B,0,-0.01516,0.1801
BCL6B_5,BCL6B,0,-0.0094,0.1112
BCL6B_6,BCL6B,0,-0.004066,0.1605
